experiment_id,algorithm,dataset,distribution,num_clients,dirichlet_alpha,differential_privacy,client_dropout_prob,final_accuracy,final_auc,training_rounds
exp_141,fedavg,cancer,dirichlet,5,10.0,false,0.5,0.9507908611599297,0.9878970456106971,10
exp_142,fedavg,cancer,dirichlet,5,1.0,false,0.5,0.9420035149384886,0.9862058030759473,10
exp_143,fedavg,cancer,dirichlet,10,10.0,false,0.5,0.9543057996485061,0.9910681253633529,10
exp_144,fedavg,cancer,dirichlet,10,1.0,false,0.5,0.843585237258348,0.9723851804872894,10
exp_145,fedprox,heart,iid,3,,true,0.0,0.8380487804878048,0.9212531526932192,10
exp_146,fedprox,heart,iid,5,,true,0.0,0.84,0.9115036155962114,10
exp_147,fedprox,heart,iid,10,,true,0.0,0.8136585365853658,0.8972317258090324,10
exp_148,fedprox,heart,iid,3,,true,0.3,0.8351219512195122,0.9160907366062925,10
exp_149,fedprox,heart,iid,5,,true,0.3,0.8321951219512195,0.9104635125764838,10
exp_150,fedprox,heart,iid,10,,true,0.3,0.8039024390243903,0.8782165090637549,10
exp_151,fedprox,heart,iid,3,,true,0.5,0.8653658536585366,0.9250059053468153,10
exp_152,fedprox,heart,iid,5,,true,0.5,0.8321951219512195,0.9109968987404466,10
exp_153,fedprox,heart,iid,10,,true,0.5,0.7882926829268293,0.8782888971860071,10
exp_154,fedprox,heart,iid,3,,false,0.0,0.8497560975609756,0.934149668157608,10
exp_155,fedprox,heart,iid,5,,false,0.0,0.848780487804878,0.9269908638569916,10
exp_156,fedprox,heart,iid,10,,false,0.0,0.824390243902439,0.9117741185793642,10
exp_157,fedprox,heart,iid,3,,false,0.3,0.8624390243902439,0.9339667929013922,10
exp_158,fedprox,heart,iid,5,,false,0.3,0.8546341463414634,0.92639651927429,10
exp_159,fedprox,heart,iid,10,,false,0.3,0.8321951219512195,0.9267165509726678,10
exp_160,fedprox,heart,iid,3,,false,0.5,0.8536585365853658,0.9321608997462605,10
exp_161,fedprox,heart,iid,5,,false,0.5,0.8507317073170731,0.9305455016496871,10
exp_162,fedprox,heart,iid,10,,false,0.5,0.8282926829268292,0.9147115523823313,10
